IMAGE,GROUP,ITEM,PRICE_PER_LB,PRICE_PER_OZ,DATE_GATHERED,STORE
1732.jpg,baking_powders,WHOLE WHEAT FLOUR,$0.48 ,$0.03 ,2/1/26,Winco_MoVal
1734.jpg,baking_powders,STANDARD BAKERS FLOUR (BLEACHED),$0.58 ,$0.04 ,2/1/26,Winco_MoVal
1736.jpg,baking_powders,WHEAT NUGGETS,$0.58 ,$0.04 ,1/30/26,Winco_MoVal
1737.jpg,baking_powders,STANDARD BAKERS FLOUR (UNBLEACHED),$0.58 ,$0.04 ,2/1/26,Winco_MoVal
1739.jpg,baking_powders,CAKE FLOUR (BLEACHED),$0.58 ,$0.04 ,2/1/26,Winco_MoVal
1740.jpg,baking_powders,WHEAT BERRY KERNELS RED,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1741.jpg,baking_powders,BOBS RED MILL SEMOLINA FLOUR,$2.18 ,$0.14 ,2/1/26,Winco_MoVal
1746.jpg,baking_powders,BUTTERMILK PANCAKE MIX,$1.10 ,$0.07 ,1/30/26,Winco_MoVal
1747.jpg,baking_powders,10-GRAIN PANCAKE MIX (BOBS RED MILL),$2.58 ,$0.16 ,1/30/26,Winco_MoVal
1748.jpg,baking_powders,WHOLE WHEAT BREAD FLOUR (BOBS RED MILL),$1.17 ,$0.07 ,1/30/26,Winco_MoVal
1749.jpg,baking_powders,CHICKPEA FLOUR,$1.98 ,$0.12 ,1/30/26,Winco_MoVal
1755.jpg,baking_powders,PARMESAN ROMANO CHEESE (GRATED),$5.43 ,$0.34 ,2/1/26,Winco_MoVal
1765.jpg,baking_powders,BLUEBERRY MUFFIN MIX,$1.78 ,$0.11 ,1/30/26,Winco_MoVal
1766.jpg,baking_powders,PROTEIN PANCAKE MIX (HAPPY DAY),$3.38 ,$0.21 ,1/30/26,Winco_MoVal
1769.jpg,baking_powders,BUTTERMILK PISCUIT MIX,$1.25 ,$0.08 ,1/30/26,Winco_MoVal
1770.jpg,baking_powders,NUTRITIONAL YEAST,$9.98 ,$0.62 ,1/30/26,Winco_MoVal
1773.jpg,baking_powders,UNSWEETENED COCONUT,$3.38 ,$0.21 ,2/1/26,Winco_MoVal
1774.jpg,baking_powders,SWEET FLAKE COCONUT,$3.01 ,$0.19 ,2/1/26,Winco_MoVal
1778.jpg,baking_powders,CORN MUFFIN MIX,$1.20 ,$0.08 ,1/30/26,Winco_MoVal
1779.jpg,baking_powders,PIZZA CRUST MIX,$1.48 ,$0.09 ,1/30/26,Winco_MoVal
1780.jpg,baking_powders,CORN STARCH,$1.58 ,$0.10 ,1/30/26,Winco_MoVal
1781.jpg,baking_powders,BAKING SODA,$0.80 ,$0.05 ,1/30/26,Winco_MoVal
1783.jpg,baking_powders,BAKING POWDER,$1.88 ,$0.12 ,1/30/26,Winco_MoVal
1789.jpg,baking_powders,OAT FLOUR,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1801.jpg,baking_powders,BROWNIE MIX,$1.88 ,$0.12 ,1/30/26,Winco_MoVal
1807.jpg,baking_powders,HUMMUS MIX,$8.38 ,$0.52 ,2/1/26,Winco_MoVal
1814.jpg,baking_powders,BUTTERSCOTCH CHIPS (GUITTARD),$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1815.jpg,baking_powders,REESES PEANUT BUTTER CHIP (HERSHEY),$5.68 ,$0.36 ,2/1/26,Winco_MoVal
1820.jpg,baking_powders,SEMI SWEET MINI CHIPS (B CALLEBAUT),$7.08 ,$0.44 ,2/1/26,Winco_MoVal
1821.jpg,baking_powders,SEMI SWEET CHOCOLATE CHIPS (B CALLEBAUT),$7.19 ,$0.45 ,2/1/26,Winco_MoVal
1824.jpg,baking_powders,MILK CHOCOLATE CHIPS (B CALLEBAUT),$7.08 ,$0.44 ,2/1/26,Winco_MoVal
1825.jpg,baking_powders,VANILLA BAKING CHIPS (GUITTARD),$7.68 ,$0.48 ,2/1/26,Winco_MoVal
1829.jpg,baking_powders,DUTCH COCOA POWDER,$7.98 ,$0.50 ,2/1/26,Winco_MoVal
1846.jpg,baking_powders,CHICKEN BREADING MIX,$1.48 ,$0.09 ,2/1/26,Winco_MoVal
1885.jpg,baking_powders,COFFEE CREAMER,$2.68 ,$0.17 ,1/30/26,Winco_MoVal
1887.jpg,baking_powders,TURBINADO SUGAR,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1917.jpg,baking_powders,INSTANT NON FAT MILK,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
1921.jpg,baking_powders,BREAD CRUMBS,$1.78 ,$0.11 ,1/30/26,Winco_MoVal
1931.jpg,baking_powders,WHEAT GERM,$1.28 ,$0.08 ,1/30/26,Winco_MoVal
1932.jpg,baking_powders,WHEAT BRAN,$0.68 ,$0.04 ,1/30/26,Winco_MoVal
1959.jpg,baking_powders,BOBS RED MILL BRWN RICE FLR,$2.28 ,$0.14 ,1/30/26,Winco_MoVal
2048.jpg,baking_powders,FALAFEL MIX,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
2056.jpg,baking_powders,IODIZED SALT,$0.48 ,$0.03 ,2/1/26,Winco_MoVal
2144.jpg,baking_powders,GOLDEN FLAXSEED,$2.18 ,$0.14 ,1/30/26,Winco_MoVal
2174.jpg,baking_powders,MONKFRUIT SWEETENER (LAKANTO),$5.08 ,$0.32 ,2/1/26,Winco_MoVal
2177.jpg,baking_powders,BAKING FLOUR GF,$2.58 ,$0.16 ,1/30/26,Winco_MoVal
2180.jpg,baking_powders,CHICKEN BOUILLON,$3.78 ,$0.24 ,2/1/26,Winco_MoVal
2403.jpg,baking_powders,DARK RYE FLOUR (ORGANIC),$1.28 ,$0.08 ,2/1/26,Winco_MoVal
2407.jpg,baking_powders,ORGANIC COCONUT SUGAR,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
2408.jpg,baking_powders,COCONUT FLOUR ORGANIC,$2.18 ,$0.14 ,1/30/26,Winco_MoVal
2455.jpg,baking_powders,SEMI SWEET CHOCOLATE (B CALLEBAUT),$7.88 ,$0.49 ,2/1/26,Winco_MoVal
2456.jpg,baking_powders,MILK CHOCOLATE (B CALLEBAUT),$8.18 ,$0.51 ,2/1/26,Winco_MoVal
2571.jpg,baking_powders,WHEAT BERRY KERNEL WHITE,$0.98 ,$0.06 ,1/30/26,Winco_MoVal
2613.jpg,baking_powders,PBFIT PEANUT BUTTER POWDER (BETTER BODY),$6.08 ,$0.38 ,1/30/26,Winco_MoVal
2965.jpg,baking_powders,BITTERSWEET CHOCOLATE (64% COCOA),$11.88 ,$0.74 ,2/1/26,Winco_MoVal
5574.jpg,baking_powders,RAINBOW TOPPERS (GEL SPICE),$3.18 ,$0.20 ,2/1/26,Winco_MoVal
5575.jpg,baking_powders,BROWN GRAVY MIX (GEL SPICE),$2.68 ,$0.17 ,2/1/26,Winco_MoVal
5578.jpg,baking_powders,CHICKEN GRAVY (GEL SPICE),$2.48 ,$0.16 ,2/1/26,Winco_MoVal
5645.jpg,baking_powders,PINK HIMALAYAN SALT COARSE,$1.98 ,$0.12 ,2/1/26,Winco_MoVal
5744.jpg,baking_powders,PINK HIMALAYAN SALT FINE,$1.98 ,$0.12 ,2/1/26,Winco_MoVal
5745.jpg,baking_powders,HEMP HEARTS,$7.18 ,$0.45 ,1/30/26,Winco_MoVal
1295.jpg,beans,MUNG BEANS,$2.48 ,$0.16 ,2/1/26,Winco_MoVal
1340.jpg,beans,CHILI BEAN MIX,$1.78 ,$0.11 ,2/1/26,Winco_MoVal
1349.jpg,beans,WHITE HOMINY POSOLE,$1.08 ,$0.07 ,2/1/26,Winco_MoVal
1397.jpg,beans,RED LENTILS,$1.58 ,$0.10 ,2/1/26,Winco_MoVal
1403.jpg,beans,TVP (BOBS RED MILL),$4.18 ,$0.26 ,2/1/26,Winco_MoVal
1467.jpg,beans,FRENCH GREEN LENTILS,$2.38 ,$0.15 ,2/1/26,Winco_MoVal
1471.jpg,beans,DUROS,$2.18 ,$0.14 ,2/1/26,Winco_MoVal
1510.jpg,beans,SOY BEANS,$1.48 ,$0.09 ,2/1/26,Winco_MoVal
1528.jpg,beans,ANCIENT GRAIN BLEND (INHARVEST),$3.18 ,$0.20 ,2/1/26,Winco_MoVal
1616.jpg,beans,MAYO COBA BEANS,$1.41 ,$0.09 ,2/1/26,Winco_MoVal
1632.jpg,beans,LARGE LIMA BEANS,$2.28 ,$0.14 ,2/1/26,Winco_MoVal
1634.jpg,beans,GREAT NORTHERN BEANS,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1635.jpg,beans,SMALL RED BEANS,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1636.jpg,beans,PINTO BEANS,$0.89 ,$0.06 ,2/1/26,Winco_MoVal
1637.jpg,beans,RED KIDNEY BEANS,$1.48 ,$0.09 ,2/1/26,Winco_MoVal
1638.jpg,beans,GARBANZO BEAN (CHICKPEAS),$1.18 ,$0.07 ,2/1/26,Winco_MoVal
1639.jpg,beans,SPLLIT YELLOW PEAS,$0.98 ,$0.06 ,2/1/26,Winco_MoVal
1640.jpg,beans,SPLIT GREEN PEAS,$0.98 ,$0.06 ,2/1/26,Winco_MoVal
1641.jpg,beans,LENTILS,$1.18 ,$0.07 ,2/1/26,Winco_MoVal
1644.jpg,beans,NAVY BEANS,$1.18 ,$0.07 ,2/1/26,Winco_MoVal
1645.jpg,beans,BEANLAND SOUP MIX,$1.28 ,$0.08 ,2/1/26,Winco_MoVal
1646.jpg,beans,BLACK TURTLE BEANS,$1.08 ,$0.07 ,2/1/26,Winco_MoVal
1647.jpg,beans,BLACK EYED BEANS,$1.88 ,$0.12 ,2/1/26,Winco_MoVal
2166.jpg,beans,13 BEAN SOUP,$1.68 ,$0.11 ,2/1/26,Winco_MoVal
1290.jpg,candy,NERDS RAINBOW GUMMY CLUSTERS,$6.28 ,$0.39 ,2/1/26,Winco_MoVal
1305.jpg,candy,TOOTSIE ROLL MIDGEES,$3.98 ,$0.25 ,2/1/26,Winco_MoVal
1321.jpg,candy,STARBURST,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
1328.jpg,candy,MIKE AND IKES (THE ORIGINAL),$3.08 ,$0.19 ,2/1/26,Winco_MoVal
1347.jpg,candy,CINNAMON BEARS (SWEET'S),$2.88 ,$0.18 ,2/1/26,Winco_MoVal
1376.jpg,candy,MIKE AND IKES MEGA SOUR MIX,$3.08 ,$0.19 ,2/1/26,Winco_MoVal
1436.jpg,candy,SKITTLES ORIGINAL,$4.88 ,$0.31 ,2/1/26,Winco_MoVal
1475.jpg,candy,CHOCOLATE ROCKS,$6.28 ,$0.39 ,2/1/26,Winco_MoVal
1547_10.jpg,candy,SIZZLIN CINNAMON JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_11.jpg,candy,TUTTI FRUTTI JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_2.jpg,candy,LICORICE JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_3.jpg,candy,TROPICAL MIX JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_4.jpg,candy,BUTTER POPCORN JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_5.jpg,candy,KIDS MIX JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_6.jpg,candy,ASSORTED SOUR JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_7.jpg,candy,FRUIT BOWL JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_8.jpg,candy,COTTON CANDY JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547_9.jpg,candy,JUICY PEAR JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1547.jpg,candy,49 FLAVOR JELLY BELLY,$6.98 ,$0.44 ,2/1/26,Winco_MoVal
1552.jpg,candy,TAFFY ASSORTED (SWEET'S),$3.48 ,$0.22 ,2/1/26,Winco_MoVal
1596.jpg,candy,LICORICE ALL SORTS,$3.58 ,$0.22 ,2/1/26,Winco_MoVal
1611.jpg,candy,RED VINE MINI,$3.28 ,$0.21 ,2/1/26,Winco_MoVal
1664.jpg,candy,SUNBURSTS,$6.28 ,$0.39 ,2/1/26,Winco_MoVal
1713.jpg,candy,FRUIT SNACKS,$3.58 ,$0.22 ,2/1/26,Winco_MoVal
1722.jpg,candy,FRUIT GEMS SUNKIST,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
1878.jpg,candy,TAJIN PEACH RINGS,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
1895.jpg,candy,PEACH RINGS,$2.78 ,$0.17 ,2/1/26,Winco_MoVal
1902.jpg,candy,WATERMELON RINGS,$2.78 ,$0.17 ,2/1/26,Winco_MoVal
1928.jpg,candy,WATERMELON TAJIN RINGS,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
2041.jpg,candy,REESES PIECES,$5.48 ,$0.34 ,2/1/26,Winco_MoVal
2050.jpg,candy,MINTS PASTEL (SUNRISE),$3.18 ,$0.20 ,2/1/26,Winco_MoVal
2051.jpg,candy,SUGAR FREE GUMMI BEARS,$4.68 ,$0.29 ,2/1/26,Winco_MoVal
2062.jpg,candy,SUGAR FREE GUMMI WORMS,$5.88 ,$0.37 ,2/1/26,Winco_MoVal
2070.jpg,candy,CHOCOLATE M&M'S,$5.68 ,$0.36 ,2/1/26,Winco_MoVal
2071.jpg,candy,ORANGE SLICES (SUNRISE),$1.78 ,$0.11 ,2/1/26,Winco_MoVal
2084.jpg,candy,HOT TAMALES (THE ORIGINAL),$3.08 ,$0.19 ,2/1/26,Winco_MoVal
2097.jpg,candy,GOOD N' PLENTY (HERSHEY),$3.24 ,$0.20 ,2/1/26,Winco_MoVal
2099.jpg,candy,FRENCH BURNT PEANUTS (SCONZA),$3.48 ,$0.22 ,2/1/26,Winco_MoVal
2101.jpg,candy,LEMON DROPS,$2.48 ,$0.16 ,2/1/26,Winco_MoVal
2102.jpg,candy,BLACK LICORICE PIECES,$4.98 ,$0.31 ,2/1/26,Winco_MoVal
2108.jpg,candy,LICORICE PIECES STRAWBERRY,$4.98 ,$0.31 ,2/1/26,Winco_MoVal
2111.jpg,candy,SPICE DROPS,$1.78 ,$0.11 ,2/1/26,Winco_MoVal
2124.jpg,candy,PEANUT M&M'S,$5.68 ,$0.36 ,2/1/26,Winco_MoVal
2190.jpg,candy,PEANUT BUTTER M&M'S,$5.68 ,$0.36 ,2/1/26,Winco_MoVal
2211.jpg,candy,FRUIT SOURS (SWEET'S),$3.38 ,$0.21 ,2/1/26,Winco_MoVal
2215.jpg,candy,SOUR PATCH KIDS,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
2219.jpg,candy,STRAWBERRY SOUR BELTS,$7.28 ,$0.46 ,2/1/26,Winco_MoVal
2232.jpg,candy,FRUIT SOURS CHERRY,$3.38 ,$0.21 ,2/1/26,Winco_MoVal
2237.jpg,candy,GUMMI BEARS,$2.78 ,$0.17 ,2/1/26,Winco_MoVal
2238.jpg,candy,GUMMI WORMS,$2.78 ,$0.17 ,2/1/26,Winco_MoVal
2241.jpg,candy,NEON GUMMI WORMS,$2.81 ,$0.18 ,2/1/26,Winco_MoVal
2249.jpg,candy,GUMMI SHARKS,$2.58 ,$0.16 ,2/1/26,Winco_MoVal
2272.jpg,candy,SOUR PATCH WATERMELON,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
2278.jpg,candy,WERTHERS ORIGINAL (STORK USA),$6.58 ,$0.41 ,2/1/26,Winco_MoVal
2279.jpg,candy,RIESEN (STORK USA),$6.78 ,$0.42 ,2/1/26,Winco_MoVal
2339.jpg,candy,WERTHERS SOFT CARAMELS,$8.38 ,$0.52 ,2/1/26,Winco_MoVal
2355.jpg,candy,M&M MILK CHOCOLATE BAKING CANDY,$6.38 ,$0.40 ,2/1/26,Winco_MoVal
2386.jpg,candy,SWEDISH FISH,$5.38 ,$0.34 ,2/1/26,Winco_MoVal
2394.jpg,candy,BERRY GUMMY NUGGETS,$5.48 ,$0.34 ,2/1/26,Winco_MoVal
2551.jpg,candy,CARAMEL APPLE POPS (TOOTSIE),$5.08 ,$0.32 ,2/1/26,Winco_MoVal
2620.jpg,candy,GUMMI SPICY MANGO (VIDAL),$4.38 ,$0.27 ,2/1/26,Winco_MoVal
2722.jpg,candy,SOUR BELTS QUATRO,$7.28 ,$0.46 ,2/1/26,Winco_MoVal
5622.jpg,candy,CANDY BLOX (CONCORD),$6.78 ,$0.42 ,2/1/26,Winco_MoVal
5629.jpg,candy,GUMBALLS,$3.68 ,$0.23 ,2/1/26,Winco_MoVal
5647.jpg,candy,BANANARAMA,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
5651.jpg,candy,GUMBALLS SOUR,$3.68 ,$0.23 ,2/1/26,Winco_MoVal
5693.jpg,candy,STARBURST FAV REDS,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
5754.jpg,candy,BOSTON BAKED BEANS (SCONZA),$3.38 ,$0.21 ,2/1/26,Winco_MoVal
0000.jpg,chocolate_treat,TRUFFLES WHITE CHOCOLATE (LINDT),$18.99 ,$1.19 ,2/1/26,Winco_MoVal
0001.jpg,chocolate_treat,TRUFFLES DARK CHOCOLATE 60% (LINDT),$18.99 ,$1.19 ,2/1/26,Winco_MoVal
0002.jpg,chocolate_treat,TRUFFLES MILK CHOCOLATE (LINDT),$18.99 ,$1.19 ,2/1/26,Winco_MoVal
1279.jpg,chocolate_treat,ALMOND CLUSTERS,$9.58 ,$0.60 ,2/1/26,Winco_MoVal
1281.jpg,chocolate_treat,DARK CHOCLATE ALMOND CLUSTER,$9.58 ,$0.60 ,2/1/26,Winco_MoVal
1282_2.jpg,chocolate_treat,CHOCOLATE BUTTONS BLUE,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1282_3.jpg,chocolate_treat,CHOCOLATE BUTTONS PINK,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1282_4.jpg,chocolate_treat,CHOCOLATE BUTTONS SPRING MIX,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1282.jpg,chocolate_treat,CHOCOLATE BUTTONS,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1287.jpg,chocolate_treat,SIXLETS ORIGINAL,$4.38 ,$0.27 ,2/1/26,Winco_MoVal
1323.jpg,chocolate_treat,CHOCOLATE ALMONDS,$6.48 ,$0.41 ,2/1/26,Winco_MoVal
1334.jpg,chocolate_treat,DARK CHOCOLATE RAISINS,$9.58 ,$0.60 ,2/1/26,Winco_MoVal
1335.jpg,chocolate_treat,DARK CHOCOLATE CRANBERRIES,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
1336.jpg,chocolate_treat,DARK CHOCOLATE STRAWBERRIES,$13.28 ,$0.83 ,2/1/26,Winco_MoVal
1343.jpg,chocolate_treat,NUTS & CHEWS MIX,$7.78 ,$0.49 ,2/1/26,Winco_MoVal
1369.jpg,chocolate_treat,CHOCOLATE CINNAMON BEAR (SWEET'S),$4.48 ,$0.28 ,2/1/26,Winco_MoVal
1428.jpg,chocolate_treat,DARK CHOCOLATE COFFEE BEANS,$12.68 ,$0.79 ,2/1/26,Winco_MoVal
1461.jpg,chocolate_treat,CHOCOLATEY PRETZELS,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
1469.jpg,chocolate_treat,NO ADDED SUGAR PRETZEL,$15.08 ,$0.94 ,2/1/26,Winco_MoVal
1498.jpg,chocolate_treat,TRI COLOR ESPRESSO BEAN,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
1499.jpg,chocolate_treat,BITE SIZE SNICKERS (MARS),$6.88 ,$0.43 ,2/1/26,Winco_MoVal
1540.jpg,chocolate_treat,NO SUGAR ADDED DARK CHOCOLATE PEANUT,$12.38 ,$0.77 ,2/1/26,Winco_MoVal
1546.jpg,chocolate_treat,NO SUGAR ADDED CHOCOLATE RAISINS,$12.48 ,$0.78 ,2/1/26,Winco_MoVal
1566.jpg,chocolate_treat,HERSHEY KISSES,$8.98 ,$0.56 ,2/1/26,Winco_MoVal
1567.jpg,chocolate_treat,HERSHEY MINIATURES,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1586.jpg,chocolate_treat,NO SUGAR ADDED DARK CHOCOLATE RAISINS,$12.78 ,$0.80 ,2/1/26,Winco_MoVal
1715.jpg,chocolate_treat,MINI REESE'S CUPS,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1986.jpg,chocolate_treat,SUGAR FREE DARK CHOCOLATE WAFER,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
2008.jpg,chocolate_treat,CHOCOLATE RAISINS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2009.jpg,chocolate_treat,CHOCOLATE BANANA CHIPS,$6.78 ,$0.42 ,2/1/26,Winco_MoVal
2014.jpg,chocolate_treat,DARK CHOCOLATE PISTACHIOS (SETTON),$14.18 ,$0.89 ,2/1/26,Winco_MoVal
2046.jpg,chocolate_treat,CHOCOLATE GUMMY BEARS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2060.jpg,chocolate_treat,NO ADDED SUGAR PEANUT CLUSTER,$19.78 ,$1.24 ,2/1/26,Winco_MoVal
2067.jpg,chocolate_treat,HERSHEY NUGGETS,$11.28 ,$0.71 ,2/1/26,Winco_MoVal
2077.jpg,chocolate_treat,CHOCOLATE PEANUTS,$8.88 ,$0.56 ,2/1/26,Winco_MoVal
2081.jpg,chocolate_treat,ANDES MINTS (CHARMS),$6.58 ,$0.41 ,2/1/26,Winco_MoVal
2089.jpg,chocolate_treat,CHOCOLATE PEANUT CLUSTERS (SWEET'S),$6.48 ,$0.41 ,2/1/26,Winco_MoVal
2106.jpg,chocolate_treat,CHOCOLATE MALT BALLS,$6.38 ,$0.40 ,2/1/26,Winco_MoVal
2107.jpg,chocolate_treat,DARK CHOCOLATE PEANUT CLUSTER,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2114.jpg,chocolate_treat,CHOCOLATE ORANGE STICKS (SWEET'S),$5.28 ,$0.33 ,2/1/26,Winco_MoVal
2145.jpg,chocolate_treat,PEANUT BUTTER MINI CUPS (RM PALMER),$5.18 ,$0.32 ,2/1/26,Winco_MoVal
2154.jpg,chocolate_treat,DARK CHOCOLATE ALMONDS (SCONZA),$8.78 ,$0.55 ,2/1/26,Winco_MoVal
2229.jpg,chocolate_treat,REDUCED SUGAR CHOCOLATE MALTBALL,$13.88 ,$0.87 ,2/1/26,Winco_MoVal
2236.jpg,chocolate_treat,GOLD COINS CHOCOLATE (RM PALMER),$11.08 ,$0.69 ,2/1/26,Winco_MoVal
2245.jpg,chocolate_treat,MILK CHOCOLATE DUSTED ALMOND,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
2251.jpg,chocolate_treat,NO ADDED SUGAR ALMOND BUTTERCRUNCH,$17.48 ,$1.09 ,2/1/26,Winco_MoVal
2253.jpg,chocolate_treat,NO ADDED SUGAR ALMOND CLUSTER,$20.58 ,$1.29 ,2/1/26,Winco_MoVal
2257.jpg,chocolate_treat,NO ADDED SUGAR PEPPERMINT PATTY,$15.08 ,$0.94 ,2/1/26,Winco_MoVal
2258.jpg,chocolate_treat,NO ADDED SUGAR CHOCOLATE VANILLA CARAMEL,$17.08 ,$1.07 ,2/1/26,Winco_MoVal
